created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Mar 04 12:31:43 +0000 2024;1764629798343893225;"Wkkwkwkwkwkwk";0;93;64;5478;in;1586992742093103104;1764629798343893225;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1764629798343893225
Mon Mar 04 12:31:35 +0000 2024;1764629761857667262;"Kangen gaaa???";3;144;57;4141;no;1586992742093103104;1764629761857667262;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1764629761857667262
Mon Mar 04 05:40:07 +0000 2024;1764526212830162944;"@Elin_JKT48 @Daisy_JKT48 Riil";0;26;41;2524;et;1586992742093103104;1764255042121679179;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1764526212830162944
Mon Mar 04 05:25:51 +0000 2024;1764522623638425947;"@Daisy_JKT48 @Elin_JKT48 Aku si dukung pikachu ya kak🫵🏻";2;36;33;1549;in;1586992742093103104;1764255042121679179;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1764522623638425947
Mon Mar 04 05:23:04 +0000 2024;1764521924393369800;"@Elin_JKT48 Wkwkwkkwkwkwwwkwkwkwkkwkwkwkwkwkwkkekwkkeke";0;33;43;3451;in;1586992742093103104;1764255042121679179;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1764521924393369800
Mon Mar 04 05:20:28 +0000 2024;1764521268496457878;"https://t.co/lAUnOtkln6";2;24;46;2038;zxx;1586992742093103104;1764521268496457878;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1764521268496457878
Sun Mar 03 11:42:08 +0000 2024;1764254929559183838;"Lucuuuuuuuuuuuuuuuu🫶🏻";2;79;166;6483;in;1586992742093103104;1764254929559183838;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1764254929559183838
Sun Mar 03 06:51:50 +0000 2024;1764181872874303550;"Seeee uu baliii🫶🏻";1;53;63;5089;in;1586992742093103104;1764181872874303550;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1764181872874303550
Sun Mar 03 06:47:58 +0000 2024;1764180901486068084;"Vccc aku so yaaa,omooo Thank uuu luvvvv&lt 3💗🫵🏻";1;40;56;4305;in;1586992742093103104;1764180901486068084;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1764180901486068084
Sat Mar 02 12:43:21 +0000 2024;1763907948009369968;"https://t.co/X8IA8agyJN";1;40;94;3827;zxx;1586992742093103104;1763907948009369968;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1763907948009369968
Sat Mar 02 12:38:44 +0000 2024;1763906786581508446;"@AW_CallieJKT48 @Michie_JKT48 Gas ka";3;71;148;6178;lt;1586992742093103104;1763581407618839021;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1763906786581508446
Sat Mar 02 02:54:06 +0000 2024;1763759658697912468;"https://t.co/xIwFQi3o14";3;59;96;3792;zxx;1586992742093103104;1763759658697912468;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1763759658697912468
Fri Mar 01 16:54:17 +0000 2024;1763608709782274206;"@Michie_JKT48 Lho";3;98;149;8052;und;1586992742093103104;1763581407618839021;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1763608709782274206
Fri Mar 01 15:00:55 +0000 2024;1763580181309198732;"@SNayla_JKT48 “Ci” lucu bangetttt 💗💗😺😺🫶🏻🫶🏻🫵🏻🫵🏻";4;109;57;3543;in;1586992742093103104;1763563530983543234;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1763580181309198732
Fri Mar 01 13:56:00 +0000 2024;1763563843958256114;"@DC_ChelseaJKT48 Oline Erin Jaya 🫵🏻 Jaya🫵🏻 Jaya🫵🏻 https://t.co/7jud4C9Vk2";141;729;1614;12475;in;1586992742093103104;1763560522547675559;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1763563843958256114
Fri Mar 01 13:54:45 +0000 2024;1763563530983543234;"@SNayla_JKT48  Nayla chan oshi aku satu” nyaaaaaa🫶🏻🫶🏻🫵🏻🫵🏻";5;78;113;5257;in;1586992742093103104;1763563530983543234;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1763563530983543234
Fri Mar 01 10:19:58 +0000 2024;1763509478161596716;"Sr yuuuuu";1;105;63;5365;in;1586992742093103104;1763509478161596716;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1763509478161596716
Thu Feb 29 17:08:07 +0000 2024;1763249805625872775;"Kangen Surabaya 🥹";16;182;111;6559;in;1586992742093103104;1763249805625872775;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1763249805625872775
Thu Feb 29 09:54:20 +0000 2024;1763140639552876691;"@officialJKT48 Gass";4;61;34;3306;en;1586992742093103104;1762879979275346081;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1763140639552876691
